Regione,Località,Latitudine,Longitudine,AQI,CO,NO2,SO2,PM2.5,PM10
Piemonte,Ivrea,45.4673791,7.874797,3,253.68,0.71,0.67,14.93,15.84
Piemonte,Ivrea,45.4673791,7.874797,3,267.03,2.57,0.59,16.22,17.22
Lazio,Roma,41.8933203,12.4829321,3,934.6,72.66,3.49,36.08,38.52
LombardiA,Milano,45.4641943,9.1896346,4,383.85,8.14,1.55,26.32,28.03
Piemonte,Torino,45.0677551,7.6824892,5,1201.63,55.52,5.13,95.37,102.44
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
Piemonte,Biella,45.5669538,8.086912008297636,2,413.9,7.54,0.41,9.17,9.53
,Taranto,40.54881555,17.08058012454743,2,257.02,1.89,1.22,16.53,23.81
,ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
Piemonte,ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
,ivrea,45.4673791,7.874797,2,407.22,11.14,0.49,9.85,10.5
,Biella,45.5669538,8.086912008297636,2,420.57,8.23,0.4,8.98,9.35
,ivrea,45.4673791,7.874797,2,407.22,12.17,0.5,9.55,10.17
Piemonte,Torino,45.0677551,7.6824892,2,453.95,16.79,1.48,11.93,13.22
lombardia,pavia,45.036854649999995,9.137825082826026,2,347.14,5.83,0.51,4.92,5.6
,Biella,45.5669538,8.086912008297636,2,420.57,8.23,0.4,8.98,9.35
Piemonte,Ivrea,45.4673791,7.874797,2,453.95,10.88,0.85,12.41,13.17
,londra,51.5074456,-0.1277653,2,243.66,6.6,2.95,0.5,0.76
Piemonte,Ivrea,45.4673791,7.874797,2,433.92,10.03,0.65,11.47,12.15
Piemonte,Ivrea,45.4673791,7.874797,2,433.92,10.03,0.65,11.47,12.15
,Ivrea,45.4673791,7.874797,2,433.92,10.03,0.65,11.47,12.15
Piemonte,Ivrea,45.4673791,7.874797,2,433.92,10.03,0.65,11.47,12.15
,Ivrea,45.4673791,7.874797,2,433.92,10.03,0.65,11.47,12.15
Piemonte,Ivrea,45.4673791,7.874797,2,420.57,10.88,0.55,10.74,11.4
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,427.25,13.02,0.57,10.79,11.52
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.71,10.45,11.21
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.71,10.45,11.21
Piemonte,Ivrea,45.4673791,7.874797,2,407.22,11.14,0.71,10.45,11.21
